feature,bin,n,bad,good,bad_rate,woe,iv
risk_score,"(-inf, 667]",49572.0,12884.0,36688.0,0.2599047849592512,-0.3485779218269559,0.023764271229166176
risk_score,"(667, 677]",46219.0,11083.0,35136.0,0.23979315865769488,-0.2412332774543156,0.010303248038136483
risk_score,"(677, 687]",40548.0,8985.0,31563.0,0.22158922758212488,-0.13862701503234334,0.0028989225565585197
risk_score,"(687, 697]",34780.0,7049.0,27731.0,0.20267395054629098,-0.02540397886293716,8.07626338487399e-05
risk_score,"(697, 707]",28767.0,5293.0,23474.0,0.18399555045712102,0.09441883506727265,0.000889769860589013
risk_score,"(707, 717]",22206.0,3590.0,18616.0,0.1616680176528866,0.25074057794291515,0.004612562781745535
risk_score,"(717, 737]",27645.0,3824.0,23821.0,0.1383251944293724,0.43414455671249225,0.016228389507372376
risk_score,"(737, inf]",30314.0,2910.0,27404.0,0.09599524971960151,0.8473661080117582,0.05912657152406348
dti,"(-inf, 8.18]",35038.0,4993.0,30045.0,0.14250242593755352,0.39956635632035203,0.01761904222148336
dti,"(8.18, 12.81]",46672.0,7289.0,39383.0,0.15617500857044908,0.2919025139715779,0.012967298610881845
dti,"(12.81, 15.68]",34929.0,6020.0,28909.0,0.17234962352200178,0.1739904721448164,0.003579004171863819
dti,"(15.68, 19.57]",46704.0,8972.0,37732.0,0.1921034600890716,0.041347971681695274,0.0002815664578615976
dti,"(19.57, 22.8]",34995.0,7381.0,27614.0,0.21091584512073153,-0.07564534923465427,0.00073136798754853
dti,"(22.8, 25.36]",23274.0,5221.0,18053.0,0.22432757583569649,-0.15445462146883074,0.0020750989217023274
dti,"(25.36, 30.66]",34958.0,8817.0,26141.0,0.25221694604954514,-0.30822376958789827,0.012960299424724401
dti,"(30.66, inf]",23303.0,6889.0,16414.0,0.2956271724670643,-0.5268428992374761,0.026724407853974456
dti,MISSING,178.0,36.0,142.0,0.20224719101123595,-0.03297973720986648,7.020935189827812e-07
emp_length_yrs,"(-inf, 0.5]",22447.0,4590.0,17857.0,0.20448166792889919,-0.036588361789141134,0.00010848817092544443
emp_length_yrs,"(0.5, 1]",18453.0,3754.0,14699.0,0.2034357557036796,-0.030164640191542927,6.05023170933376e-05
emp_length_yrs,"(1, 4]",65024.0,12987.0,52037.0,0.19972625492125984,-0.0070457431387658765,1.1550676247727293e-05
emp_length_yrs,"(4, 5]",17509.0,3488.0,14021.0,0.19921183391398709,-0.003902977733982058,9.535444281296776e-07
emp_length_yrs,"(5, 9]",48585.0,9431.0,39154.0,0.19411340948852526,0.028437208322005355,0.00013909185080561773
emp_length_yrs,"(9, inf]",91964.0,17081.0,74883.0,0.18573572267408986,0.0829145667771186,0.00220127370997696
emp_length_yrs,MISSING,16069.0,4287.0,11782.0,0.26678698114381727,-0.3841114319108234,0.009443516500054119
amount_requested,"(-inf, 4,200]",23640.0,3495.0,20145.0,0.14784263959390864,0.3564882736756012,0.009595351253506133
amount_requested,"(4,200, 6,000]",28882.0,4531.0,24351.0,0.15687971747108925,0.2865242010169086,0.0077449836878328345
amount_requested,"(6,000, 9,600]",41195.0,7063.0,34132.0,0.17145284621920137,0.1802930924627896,0.004523449243017862
amount_requested,"(9,600, 1.2e+04]",48640.0,9591.0,39049.0,0.19718338815789474,0.008936544767757116,1.3833153375123279e-05
amount_requested,"(1.2e+04, 1.5e+04]",32545.0,6823.0,25722.0,0.20964817944384698,-0.06802267917260135,0.0005487579830942014
amount_requested,"(1.5e+04, 2e+04]",44439.0,10000.0,34439.0,0.2250275658768199,-0.15844716803666553,0.004174379365862799
amount_requested,"(2e+04, 2.95e+04]",37391.0,8434.0,28957.0,0.22556230108849723,-0.1615174373382632,0.0036530067958176916
amount_requested,"(2.95e+04, inf]",23319.0,5681.0,17638.0,0.24362108152150608,-0.26214750717088176,0.006174845692298281
state,AL,3488.0,839.0,2649.0,0.24053899082568808,-0.2455545185543941,0.0008067835996893465
state,AZ,6779.0,1293.0,5486.0,0.190736096769435,0.050064542835154595,5.9760620512235944e-05
state,CA,41198.0,7951.0,33247.0,0.19299480557308607,0.03574472222173248,0.00018592137714776557
state,CO,6145.0,925.0,5220.0,0.15052888527257932,0.33514006574699745,0.002219759210848444
state,CT,4143.0,747.0,3396.0,0.18030412744388125,0.11889219939689963,0.0002016797124574367
state,FL,19722.0,4258.0,15464.0,0.2159010242368928,-0.10524417502439962,0.0008047688234540762
state,GA,8916.0,1639.0,7277.0,0.1838268281740691,0.0955218153654599,0.0002821599549779842
state,IL,10941.0,1964.0,8977.0,0.17950827163878988,0.12460942313210802,0.0005839353447511702
state,IN,4504.0,911.0,3593.0,0.20226465364120783,-0.023083921179835803,8.630665692117172e-06
state,LA,3341.0,762.0,2579.0,0.22807542651900628,-0.17612591176647735,0.00038982861151392597
state,MA,6648.0,1258.0,5390.0,0.18922984356197353,0.05984334543418664,8.348644936185508e-05
state,MD,6403.0,1358.0,5045.0,0.21208808371076057,-0.08275865693143439,0.00016051330970141188
state,MI,7209.0,1430.0,5779.0,0.1983631571646553,0.001418876274541622,5.180318720316871e-08
state,MN,4979.0,994.0,3985.0,0.19963848162281583,-0.0066963083956644584,7.989025930410889e-07
state,MO,4465.0,971.0,3494.0,0.21746920492721164,-0.11476994986992649,0.00021731362982736573
state,NC,7816.0,1613.0,6203.0,0.20637154554759468,-0.048166347578705714,6.569171729241449e-05
state,NJ,10060.0,2131.0,7929.0,0.2118290258449304,-0.08111023923622501,0.00024211087794490002
state,NV,4122.0,908.0,3214.0,0.220281416787967,-0.1312420482241,0.00026360591316546374
state,NY,22786.0,4945.0,17841.0,0.21701922232950058,-0.1118251318326071,0.0010517298686248207
state,OH,9033.0,1791.0,7242.0,0.19827299900365328,0.0020389289288814194,1.340093912967661e-07
state,OR,3399.0,518.0,2881.0,0.15239776404824948,0.3202519792375237,0.0011266784517238197
state,PA,9450.0,1976.0,7474.0,0.2091005291005291,-0.06470464031678656,0.00014403380067943495
state,SC,3278.0,576.0,2702.0,0.17571690054911532,0.15008294583463425,0.000251843675265944
state,TN,4207.0,879.0,3328.0,0.20893748514380794,-0.06395079710646998,6.263058313430395e-05
state,TX,22864.0,4491.0,18373.0,0.1964223233030091,0.013848423456973156,1.5591005134126323e-05
state,VA,7928.0,1630.0,6298.0,0.20560040363269425,-0.04344947040663161,5.4145258309558047e-05
state,WA,6042.0,937.0,5105.0,0.15508109897384972,0.29998264718141154,0.0017684898308202646
