cutoff_type,rejection_rate,rho,se_rho,lr_p
random,0.1,-0.023531535788858117,0.42058075579215315,0.4344514899378905
random,0.3,-0.011446804414035205,0.2963312806970819,0.4498967506991711
random,0.5,0.1352806810139081,0.3840070612196624,0.7045754385755041
random,0.7,0.057767735732980385,0.49589213202220794,0.880320903303701
risk_hard,0.1,0.31885338009112374,0.17088414203677613,0.24940863952214803
risk_hard,0.3,0.06283947565796663,0.055349512801417436,0.2797098225939256
risk_hard,0.5,0.05786285877500844,0.09309820258238018,0.5936820054209987
risk_hard,0.7,0.012685658777776842,0.054447536833291156,0.7467417090402615
risk_soft,0.1,0.2542215564891749,0.09044599843944394,0.004969807363061484
risk_soft,0.3,0.1234279354808355,0.04565776998578493,0.010070714825830473
risk_soft,0.5,0.08406254918984295,0.04243403620745487,0.07319545876319293
risk_soft,0.7,0.06751356155014417,0.045990834060776274,0.20876075271877798
