band,n,bad_rate,good_yield,bad_yield,lgd,mean_int_rate,mean_term
0,40003,0.08031897246837616,0.09792616393747053,-0.5190259591855876,0.6249474676237249,9.208250045776367,39.04656982421875
1,39997,0.11708378046751022,0.124446111398379,-0.47160222468232127,0.5977212453144761,10.969732284545898,39.71968078613281
2,40004,0.13793620467185974,0.14059300228222263,-0.45945289461935024,0.5962569362777784,12.070837020874023,39.714229583740234
3,39996,0.16116611659526825,0.14967763009783455,-0.4538747139458203,0.5991146978755271,12.57431411743164,40.34203338623047
4,40006,0.17482377588748932,0.15783593314456845,-0.45354485554349044,0.6060943051714323,13.092729568481445,40.92766189575195
5,40015,0.20002499222755432,0.16727805538447496,-0.44875257132597285,0.6094344858100166,13.661227226257324,41.91438293457031
6,39995,0.21982747316360474,0.1750873724752321,-0.45173673972736444,0.617472048183992,14.096445083618164,42.5570182800293
7,39994,0.25226283073425293,0.18333489908632516,-0.45764272161064795,0.6297141930594866,14.714988708496094,43.523929595947266
8,39990,0.2910977602005005,0.19400143386114777,-0.45164167498353985,0.6342300531808123,15.434578895568848,44.45851516723633
9,40000,0.3529999852180481,0.20826123322278536,-0.4688578047692006,0.6564327933152645,16.55683135986328,45.6864013671875
