method,reject_bad_scale,cutoff_type,abs_bad_rate_bias,bad_rate_bias,abs_gini_bias
fuzzy,1.0,random,0.0022956459996749667,-0.0011173832999744754,0.009903714393801333
fuzzy,1.5,random,0.03849614649266345,0.03849614649266345,0.02190521598905576
fuzzy,2.0,random,0.07809083473080819,0.07809083473080819,0.03725929510325793
fuzzy,3.0,random,0.15436487925326092,0.15436487925326092,0.06495116414763591
parcelling,1.0,random,0.002315979822583046,-0.002003651395823959,0.017338775148762975
parcelling,1.5,random,0.037446345210599086,0.037446345210599086,0.026251145570861167
parcelling,2.0,random,0.07740201898741769,0.07740201898741769,0.04301465640577429
parcelling,3.0,random,0.15449961192448997,0.15449961192448997,0.073917209999396
fuzzy,1.0,risk_hard,0.01804729941747811,-0.01804729941747811,0.014871984523786574
fuzzy,1.5,risk_hard,0.022147235057785104,0.022147235057785104,0.06484035760929097
fuzzy,2.0,risk_hard,0.062333551377226126,0.062333551377226126,0.1703899037945436
fuzzy,3.0,risk_hard,0.14101867858621617,0.14101867858621617,0.34330751534841725
parcelling,1.0,risk_hard,0.01924483357354974,-0.01924483357354974,0.01560023913095887
parcelling,1.5,risk_hard,0.020252809110311534,0.020252809110311534,0.05948291188872512
parcelling,2.0,risk_hard,0.06063098304710236,0.06063098304710236,0.16487782004492857
parcelling,3.0,risk_hard,0.14223197460470932,0.14223197460470932,0.34558399518270755
